n_cities,alpha,beta,density,seed,config,baseline_cost,solver_cost,ratio,runtime
20,1.0,1.0,0.5,42,Baseline,5045.005508672771,5040.230025919426,1.0009474731765786,11.933706417039502
20,1.0,1.0,0.5,42,Constructive_Only,5045.005508672771,5042.711134510534,1.0004549882198357,0.5407354580238461
20,1.0,1.0,0.5,42,Random_Search,5045.005508672771,5043.34894155244,1.0003284656960145,0.5426393749658018
20,1.0,20.0,0.5,42,Baseline,2.4934558344220225e+53,2.9902858490422186e+52,8.338519995406694,8.10340520896716
20,1.0,20.0,0.5,42,Constructive_Only,2.4934558344220225e+53,3.123047137652243e+52,7.984048029119673,0.5539449580246583
20,1.0,20.0,0.5,42,Random_Search,2.4934558344220225e+53,3.123047137652243e+52,7.984048029119673,0.548602833005134
50,1.0,1.0,0.5,42,Baseline,9408.5797777541,9399.5075905559,1.0009651768574892,124.0716465000296
50,1.0,1.0,0.5,42,Constructive_Only,9408.5797777541,9403.416394192966,1.0005490965564732,38.47125108301407
50,1.0,1.0,0.5,42,Random_Search,9408.5797777541,9406.836995410196,1.0001852676244687,37.758814292028546
50,1.0,20.0,0.5,42,Baseline,1.0047875185856245e+52,1.8954840678829884e+49,530.0954703923429,109.25835412496235
50,1.0,20.0,0.5,42,Constructive_Only,1.0047875185856245e+52,4.310155522864211e+51,2.331209426795618,39.87619129096856
50,1.0,20.0,0.5,42,Random_Search,1.0047875185856245e+52,3.720477236647461e+51,2.7006952459976428,38.09596995799802
