graph_density,alpha,beta,num_cities,split_count,improvement_factor,tour_sequence,distances_between_cities,gold_carried_at_each_step,status,error
0.05,1e-08,0.0001,15,1,3.1006,"[14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","[0.7115, 0.3462, 0.7245, 0.579, 0.2857, 0.6301, 0.1976, 0.6284, 0.2922, 0.5346, 0.7165, 0.6934, 0.8135, 0.4093]","[313.0543, 1013.6191, 1846.4646, 2284.1794, 2954.3236, 3182.006, 3658.2352, 3789.0268, 3979.3087, 4449.395, 4820.4842, 5146.9837, 6114.526, 6859.5434, 0.0]",success,
0.05,1e-08,0.001,15,1,3.0997,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,1e-08,0.01,15,1,3.0942,"[14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","[0.7115, 0.3462, 0.7245, 0.579, 0.2857, 0.6301, 0.1976, 0.6284, 0.2922, 0.5346, 0.7165, 0.6934, 0.8135, 0.4093]","[313.0543, 1013.6191, 1846.4646, 2284.1794, 2954.3236, 3182.006, 3658.2352, 3789.0268, 3979.3087, 4449.395, 4820.4842, 5146.9837, 6114.526, 6859.5434, 0.0]",success,
0.05,1e-08,0.3,15,1,3.552,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,1e-08,1.0,15,1,3.6676,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,1e-06,0.0001,15,1,3.1005,"[14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","[0.7115, 0.3462, 0.7245, 0.579, 0.2857, 0.6301, 0.1976, 0.6284, 0.2922, 0.5346, 0.7165, 0.6934, 0.8135, 0.4093]","[313.0543, 1013.6191, 1846.4646, 2284.1794, 2954.3236, 3182.006, 3658.2352, 3789.0268, 3979.3087, 4449.395, 4820.4842, 5146.9837, 6114.526, 6859.5434, 0.0]",success,
0.05,1e-06,0.001,15,1,3.0987,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,1e-06,0.01,15,1,3.082,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,1e-06,0.3,15,1,3.2685,"[2, 3, 4, 5, 6, 7, 8, 10, 9, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.9158, 0.2857, 0.298, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3602.6641, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,1e-06,1.0,15,1,3.658,"[14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","[0.7115, 0.3462, 0.7245, 0.579, 0.2857, 0.6301, 0.1976, 0.6284, 0.2922, 0.5346, 0.7165, 0.6934, 0.8135, 0.4093]","[313.0543, 1013.6191, 1846.4646, 2284.1794, 2954.3236, 3182.006, 3658.2352, 3789.0268, 3979.3087, 4449.395, 4820.4842, 5146.9837, 6114.526, 6859.5434, 0.0]",success,
