graph_density,beta,num_cities,split_count,improvement_factor,tour_sequence,distances_between_cities,gold_carried_at_each_step,status,error
0.5,0.0001,5,1,1.7455,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.001,5,1,1.7453,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.01,5,1,1.7424,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.1,5,1,1.7227,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.5,5,1,1.7746,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.95,5,1,1.9156,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,1.0,5,1,1.9291,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,1.05,5,1,1.9418,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,1.1,5,1,1.9538,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,1.15,5,1,1.965,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,1.2,5,1,1.9755,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,1.35,5,1,2.0025,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,1.5,5,1,2.0237,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,2,5,1,2.0646,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,3,5,1,2.0864,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,4,5,1,2.0894,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,5,5,1,2.0898,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
