graph_density,beta,num_cities,split_count,improvement_factor,tour_sequence,distances_between_cities,gold_carried_at_each_step,status,error
0.5,0.0001,5,1,1.7454,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.001,5,1,1.7437,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.01,5,1,1.7267,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.1,5,1,1.5523,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.5,5,4,1.2662,"[1, 0, 2, 0, 3, 0, 4, 0]","[0.4093, 1.0807, 1.0807, 0.3873, 0.3873, 1.1039, 1.1039]","[371.4272, 0.0, 926.8382, 0.0, 644.2213, 0.0, 822.9389, 0.0]",success,
0.5,0.95,5,4,1.027,"[1, 0, 2, 0, 4, 0, 3, 0]","[0.4093, 1.0807, 1.0807, 1.1039, 1.1039, 0.3873, 0.3873]","[371.4272, 0.0, 926.8382, 0.0, 822.9389, 0.0, 644.2213, 0.0]",success,
0.5,1.0,5,3,1.0001,"[4, 3, 0, 1, 0, 2, 0]","[0.7165, 0.3873, 0.4093, 0.4093, 1.0807, 1.0807]","[822.9389, 1467.1601, 0.0, 371.4272, 0.0, 926.8382, 0.0]",success,
0.5,1.05,5,3,0.9912,"[1, 0, 3, 2, 3, 0, 3, 4, 3, 0]","[0.4093, 0.3873, 0.6934, 0.6934, 0.3873, 0.3873, 0.7165, 0.7165, 0.3873]","[371.4272, 0.0, 0.0, 926.8382, 1571.0595, 0.0, 0.0, 822.9389, 822.9389, 0.0]",success,
0.5,1.1,5,3,0.9826,"[1, 0, 3, 2, 3, 0, 3, 4, 3, 0]","[0.4093, 0.3873, 0.6934, 0.6934, 0.3873, 0.3873, 0.7165, 0.7165, 0.3873]","[371.4272, 0.0, 0.0, 926.8382, 1571.0595, 0.0, 0.0, 822.9389, 822.9389, 0.0]",success,
0.5,1.15,5,5,1.0742,"[1, 0, 3, 2, 3, 0, 3, 2, 3, 0, 3, 4, 3, 0, 3, 4, 3, 0]","[0.4093, 0.3873, 0.6934, 0.6934, 0.3873, 0.3873, 0.6934, 0.6934, 0.3873, 0.3873, 0.7165, 0.7165, 0.3873, 0.3873, 0.7165, 0.7165, 0.3873]","[371.4272, 0.0, 0.0, 463.4191, 785.5297, 0.0, 0.0, 463.4191, 785.5297, 0.0, 0.0, 411.4694, 411.4694, 0.0, 0.0, 411.4694, 411.4694, 0.0]",success,
0.5,1.2,5,6,1.1092,"[3, 4, 3, 0, 3, 2, 3, 0, 3, 4, 3, 0, 3, 2, 3, 0, 1, 0, 1, 0]","[0.7165, 0.7165, 0.3873, 0.3873, 0.6934, 0.6934, 0.3873, 0.3873, 0.7165, 0.7165, 0.3873, 0.3873, 0.6934, 0.6934, 0.3873, 0.4093, 0.4093, 0.4093, 0.4093]","[0.0, 411.4694, 411.4694, 0.0, 0.0, 463.4191, 785.5297, 0.0, 0.0, 411.4694, 411.4694, 0.0, 0.0, 463.4191, 785.5297, 0.0, 185.7136, 0.0, 185.7136, 0.0]",success,
