graph_density,beta,num_cities,split_count,improvement_factor,tour_sequence,distances_between_cities,gold_carried_at_each_step,status,error
0.5,0.0001,5,1,1.7455,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.001,5,1,1.7446,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.01,5,1,1.7357,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.1,5,1,1.6437,"[1, 2, 4, 3, 0]","[0.8135, 0.5263, 0.7165, 0.3873]","[371.4272, 1298.2655, 2121.2043, 2765.4256, 0.0]",success,
0.5,0.5,5,2,1.3026,"[1, 0, 4, 2, 3, 0]","[0.4093, 1.1039, 0.5263, 0.6934, 0.3873]","[371.4272, 0.0, 822.9389, 1749.7771, 2393.9983, 0.0]",success,
0.5,0.95,5,3,1.0478,"[1, 0, 2, 0, 4, 3, 0]","[0.4093, 1.0807, 1.0807, 1.1039, 0.7165, 0.3873]","[371.4272, 0.0, 926.8382, 0.0, 822.9389, 1467.1601, 0.0]",success,
0.5,1.0,5,3,1.0274,"[4, 0, 1, 0, 2, 3, 0]","[1.1039, 0.4093, 0.4093, 1.0807, 0.6934, 0.3873]","[822.9389, 0.0, 371.4272, 0.0, 926.8382, 1571.0595, 0.0]",success,
0.5,1.05,5,3,1.0183,"[3, 4, 3, 0, 1, 0, 3, 2, 3, 0]","[0.7165, 0.7165, 0.3873, 0.4093, 0.4093, 0.3873, 0.6934, 0.6934, 0.3873]","[0.0, 822.9389, 822.9389, 0.0, 371.4272, 0.0, 0.0, 926.8382, 1571.0595, 0.0]",success,
0.5,1.1,5,3,1.0092,"[1, 0, 3, 2, 3, 0, 3, 4, 3, 0]","[0.4093, 0.3873, 0.6934, 0.6934, 0.3873, 0.3873, 0.7165, 0.7165, 0.3873]","[371.4272, 0.0, 0.0, 926.8382, 1571.0595, 0.0, 0.0, 822.9389, 822.9389, 0.0]",success,
0.5,1.15,5,3,1.0002,"[1, 0, 3, 2, 3, 0, 3, 4, 3, 0]","[0.4093, 0.3873, 0.6934, 0.6934, 0.3873, 0.3873, 0.7165, 0.7165, 0.3873]","[371.4272, 0.0, 0.0, 926.8382, 1571.0595, 0.0, 0.0, 822.9389, 822.9389, 0.0]",success,
0.5,1.2,5,3,0.9913,"[1, 0, 3, 2, 3, 0, 3, 4, 3, 0]","[0.4093, 0.3873, 0.6934, 0.6934, 0.3873, 0.3873, 0.7165, 0.7165, 0.3873]","[371.4272, 0.0, 0.0, 926.8382, 1571.0595, 0.0, 0.0, 822.9389, 822.9389, 0.0]",success,
0.5,1.35,5,3,0.9651,"[1, 0, 3, 2, 3, 0, 3, 4, 3, 0]","[0.4093, 0.3873, 0.6934, 0.6934, 0.3873, 0.3873, 0.7165, 0.7165, 0.3873]","[371.4272, 0.0, 0.0, 926.8382, 1571.0595, 0.0, 0.0, 822.9389, 822.9389, 0.0]",success,
0.5,1.5,5,4,1.0696,"[3, 2, 1, 0, 3, 4, 3, 0, 3, 2, 3, 0, 3, 4, 3, 0]","[0.6934, 0.8135, 0.4093, 0.3873, 0.7165, 0.7165, 0.3873, 0.3873, 0.6934, 0.6934, 0.3873, 0.3873, 0.7165, 0.7165, 0.3873]","[0.0, 463.4191, 834.8463, 0.0, 0.0, 411.4694, 411.4694, 0.0, 0.0, 463.4191, 1107.6404, 0.0, 0.0, 411.4694, 411.4694, 0.0]",success,
